name,composer
26-2,John Coltrane
500 Miles High,Chick Corea
502 Blues,Jimmy Rowles
52nd Street Theme,Thelonious Monk
9.20 Special,Earl Warren
A Ballad,Gerry Mulligan
A Beautiful Friendship,Donald Kahn
A Blossom Fell,Barnes-Cornelius
A Certain Smile,Fain-Webster
A Child Is Born,Thad Jones
A Felicidade,Antonio-Carlos Jobim
A Fine Romance,Jerome Kern
A Flower Is A Lovesome Thing,Billy Strayhorn
A Foggy Day,George Gershwin
A Ghost Of A Chance,Victor Young
A Kiss To Build A Dream On,Kalmar-Ruby-Hammerstein
A Little Tear,Deodato-Valle
A Lovely Way To Spend An Evening,Jimmy McHugh
A Night In Tunisia,Dizzy Gillespie
A Nightingale Sang In Berkeley Square,Manning Sherwin
A Pretty Girl Is Like A Melody,Irving Berlin
A Sleepin' Bee,Harold Arlen
A Smooth One,Benny Goodman
A Sound For Sore Ears,Jimmy Heath
A Sunday Kind Of Love,Belle-Prima-Leonard-Rhodes
A Taste Of Honey,Marlow-Scott
A Time For Love,Johnny Mandel
A Tisket A Tasket,Traditional
A Weaver Of Dreams,Victor Young
A Wonderful Day Like Today,Bricusse-Newley
Ablution,Lennie Tristano
Ac-Cent-Tchu-Ate The Positive,Harold Arlen
Across The Alley From The Alamo,Joe Greene
Adam's Apple,Wayne Shorter
Affirmation,José Feliciano
African Queen, The,Horace Silver
Afro Blue,Mongo Santamaria
Afro Centric,Joe Henderson
After You,Cole Porter
After You've Gone,Henry Creamer
Afternoon In Paris,John Lewis
Again,Lionel Newman
Agua De Beber,Antonio-Carlos Jobim
Ahmid-6,Pat Metheny
Ain't Misbehavin',Fats Waller
Ain't She Sweet,Milton Ager
Airegin,Sonny Rollins
Airmail Special,Charlie Christian
Aisha,McCoy Tyner
Alexander's Ragtime Band,Irving Berlin
Alfie,Burt Bacharach
Alfie's Theme,Sonny Rollins
Alice In Wonderland,Sammy Fain
All About Ronnie,Joe Greene
All Alone,Irving Berlin
All Blues,Miles Davis
All By Myself,Irving Berlin
All God's Chillun Got Rhythm,Kahn-Kaper
All My Tomorrows,Jimmy Van-Heusen
All Of A Sudden My Heart Sings,Herpin-Jamblan-Rome
All Of Me,Gerald Marks
All Of You,Cole Porter
All Or Nothing At All,Arthur Altman
All The Things You Are,Jerome Kern
All The Way,Jimmy Van-Heusen
All Through The Day,Kern-Hammerstein
All Through The Night,Cole Porter
All Too Soon,Duke Ellington
Almost Like Being In Love,Frederick Loewe
Alone Together,Arthur Schwartz
Alone Too Long,Arthur Schwartz
Along Came Betty,Benny Golson
Always,Irving Berlin
Always And Forever,Pat Metheny
Am I Blue?,Harry Akst
Among My Souvenirs,Horatio Nicholls
Ana Maria,Wayne Shorter
And On The Third Day,Michael Gibbs
And The Angels Sing,Ziggy Elman
Angel Eyes,Matt Dennis
Anthropology,Charlie Parker
Anything Goes,Cole Porter
April,Lennie Tristano
April In Paris,Vernon Duke
April Joy,Pat Metheny
April Skies,Buddy Collette
Aren't You Glad You're You,Jimmy Van-Heusen
Armando's Rhumba,Chick Corea
As Long As I Live,Harold Arlen
As Time Goes By,Herman Hupfeld
Ask Me Now,Thelonious Monk
At Last,Harry Warren
At Long Last Love,Cole Porter
Au Privave,Charlie Parker
Autumn In New York,Vernon Duke
Autumn Leaves,Joseph Kosma
Autumn Nocturne,Gannon-Myrow
Avalon,Jolson-Sylva-Rose
Ba-lue Bolivar Ba-lues-are,Thelonious Monk
Backstage Sally,Wayne Shorter
Bags and Trane,Milt Jackson
Bags' Groove,Milt Jackson
Balance, The,Dave Holland
Ballade,Charlie Parker
Baltimore Oriole,Hoagy Carmichael
Barbados,Charlie Parker
Barbara,Horace Silver
Bark For Barksdale,Gerry Mulligan
Basin Street Blues,Spencer Williams
Bat, The,Pat Metheny
Baubles, Bangles and Beads,Borodin-Wright-Forrest
Be Careful It's My Heart,Irving Berlin
Be My Love,Nikolaus Brodszky
Be-Bop,Dizzy Gillespie
Beatrice,Sam Rivers
Beautiful Love,Victor Young
Beauty And The Beast,Wayne Shorter
Begin The Beguine,Cole Porter
Bein' Green,Joe Raposo
Bemsha Swing,Thelonious Monk
Benny's Tune,Lionel Loueke
Bernie's Tune,Bernie Miller
Besame Mucho,Consuelo Velazques
Bess You Is My Woman,George Gershwin
Bessie's Blues,John Coltrane
Best Is Yet To Come (Page 1), The,Cy Coleman
Best Is Yet To Come (Page 2), The,Cy Coleman
Best Thing For You Is Me, The,Irving Berlin
Best Things In Life Are Free, The,DeSylva-Brown-Henderson
Better Days Ahead,Pat Metheny
Better Git It In Your Soul,Charles Mingus
Better Than Anything,Loughborough-Wheat
Between The Devil And The Deep Blue Sea,Harold Arlen
Bewitched,Richard Rodgers
Beyond The Blue Horizon,Whiting-Harding
Beyond The Sea,Charles Trenet
Bidin' My Time,George Gershwin
Bill Bailey,Traditional
Bill's Hit Tune,Bill Evans
Billie's Bounce,Charlie Parker
Billy Boy,Traditional
Birk's Works,Dizzy Gillespie
Birth Of The Blues, The,Ray Henderson
Black And Blue,Fats Waller
Black And Tan Fantasy,Ellington-Miley
Black Coffee,Burke-Webster
Black Narcissus,Joe Henderson
Black Nile,Wayne Shorter
Blackberry Winter,Alec Wilder
Blame It On My Youth,Oscar Levant
Blood Count,Billy Strayhorn
Bloomdido,Charlie Parker
Blue (And Broken Hearted),Leslie-Handman-Clarke
Blue And Sentimental,Livingstone-David-Basie
Blue Bossa,Kenny Dorham
Blue Champagne,Watts-Ryerson-Eaton
Blue Daniel,Frank Rosolino
Blue In Green,Miles Davis, Bill Evans
Blue Lou,Irving Mills
Blue Monk,Thelonious Monk
Blue Moon,Richard Rodgers
Blue Room, The,Richard Rodgers
Blue Silver,Horace Silver
Blue Skies,Irving Berlin
Blue Sphere,Thelonious Monk
Blue Turning Grey Over You,Fats Waller
Blueberry Hill,Lewis-Stock-Rose
Bluehawk,Thelonious Monk
Blues Five Spot,Thelonious Monk
Blues For Alice,Charlie Parker
Blues For Wood,Woody Shaw
Blues In The Closet,Oscar Pettiford
Blues In The Night,Harold Arlen
Blues March,Benny Golson
Bluesette,Toots Thielemans
Body And Soul,Johnny Green
Bohemia After Dark,Oscar Pettiford
Bolivia,Cedar Walton
Boo Boo's Birthday,Thelonious Monk
Booker's Waltz,Booker Little
Boplicity,Cleo Henry
Born To Be Blue,Wells-Torme
Bossa Antigua,Paul Desmond
Bouncin' With Bud,Bud Powell
Bourbon Street Parade,Paul Barbarin
Boy Next Door, The,Martin-Blane
Brazil (Aquarela Do Brasil),Ary Barroso
Brazilian Like,Michel Petrucciani
Brazilian Suite,Michel Petrucciani
Breeze And I, The,Ernesto Lecuona
Bright Boy,John Bright
Bright Mississippi,Thelonious Monk
Bright Size Life,Pat Metheny
Brilliant Corners,Thelonious Monk
Broadway,William-Henri-Woode
Brother Can You Spare A Dime,Yarburg-Gorney
Brotherhood Of Man,Frank Loesser
Bud Powell,Chick Corea
Budo,Davis-Powell
Bunko,Lennie Niehaus
But Beautiful,Jimmy Van-Heusen
But Not For Me,George Gershwin
Butch And Butch,Oliver Nelson
Butterfly,Herbie Hancock
Butterfly Dreams,Stanley Clarke
By Myself,Arthur Schwartz
Bye Bye Baby,Jule Styne
Bye Bye Blackbird,Ray Henderson
Bye Bye Blues,Hamm-Bennett-Lown-Gray
Bye-Ya,Thelonious Monk
C-Jam Blues,Duke Ellington
C.T.A.,Jimmy Heath
C'est Si Bon,Henri Betti
Cabin in the Sky,Vernon Duke
Call Me,Tony Hatch
Call Me Irresponsible,Jimmy Van-Heusen
Can't Help Lovin' Dat Man,Jerome Kern
Can't We Be Friends,Swift-James
Candy,David-Whitney-Kramer
Cantaloupe Island,Herbie Hancock
Captain Marvel,Chick Corea
Caravan,Duke Ellington
Catch Me,Joe Pass
Celia,Bud Powell
Central Park West,John Coltrane
Ceora,Lee Morgan
Chameleon,Herbie Hancock
Change Partners,Irving Berlin
Charleston, The,James Johnson
Chase, The,Dexter Gordon
Chasin' The Trane,John Coltrane
Cheek To Cheek,Irving Berlin
Cheers,Howard McGhee
Cheese Cake,Dexter Gordon
Cheetah,Kenny Burrell
Chega De Saudade (No More Blues),Antonio-Carlos Jobim
Chelsea Bridge,Billy Strayhorn
Cherokee,Ray Noble
Cheryl,Charlie Parker
Chicago,Fred Fisher
